Time,Length_x_copper32.5um0.25density,Length_y_copper32.5um0.25density,Length_x_copper32.5um0.5density,Length_y_copper32.5um0.5density,Length_x_copper32.5um1,Length_y_copper32.5um1,Length_x_copper32.5um2density,Length_y_copper32.5um2density,Length_x_copper32.5um4density,Length_y_copper32.5um4density
1.44e-05,NA,NA,NA,NA,NA,NA,1.6250000044237822e-05,4.909574636258185e-05,6.188829866005108e-05,4.1489362047286704e-05
1.48e-05,NA,NA,NA,NA,NA,NA,1.763297859724844e-05,5.0478724006097764e-05,5.9122341554029845e-05,4.218085086904466e-05
1.52e-05,NA,NA,NA,NA,NA,NA,NA,NA,5.635638262901921e-05,4.218085086904466e-05
1.56e-05,NA,NA,NA,NA,NA,NA,NA,NA,5.4973404985503294e-05,4.218085086904466e-05
1.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,5.15159572387347e-05,4.3563828512560576e-05
1.64e-05,NA,NA,NA,NA,NA,NA,NA,NA,4.8058509491966106e-05,4.3563828512560576e-05
1.68e-05,NA,NA,NA,NA,NA,NA,NA,NA,4.529255420493428e-05,4.3563828512560576e-05
1.72e-05,NA,NA,NA,NA,NA,NA,NA,NA,4.183510645816568e-05,4.3563828512560576e-05
1.76e-05,NA,NA,NA,NA,NA,NA,NA,NA,3.837765871139709e-05,4.49468097940553e-05
1.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,3.284574449935462e-05,4.49468097940553e-05
1.84e-05,NA,NA,NA,NA,NA,NA,NA,NA,2.8696807930828072e-05,4.632978743757121e-05
1.88e-05,NA,NA,NA,NA,NA,NA,NA,NA,2.3164893718785606e-05,4.632978743757121e-05
1.92e-05,NA,NA,NA,NA,NA,NA,NA,NA,2.0398936612764373e-05,4.771276508108713e-05
1.96e-05,NA,NA,NA,NA,NA,NA,NA,NA,1.763297859724844e-05,4.771276508108713e-05
2e-05,NA,NA,NA,NA,NA,NA,NA,NA,1.763297859724844e-05,4.909574636258185e-05
